# Fictional transaction data for ICT703 Task 2 (Adam Heier)
# Format: timestamp | transaction_id | account_id | transaction_type | amount | location | status
# Valid and invalid records are mixed, as they would be in a real export.
timestamp | transaction_id | account_id | transaction_type | amount | location | status
2026-07-11 07:30:00 | T1015 | A40199 | DIRECT_DEBIT | 120.00 | Hobart | APPROVED
2026-07-11 07:52:14 | T1028 | A80512 | BITCOIN_SWAP | 300.00 | Brisbane | APPROVED
2026-07-11 08:45:00 | T1011 | A30712 | CARD_PAYMENT | 89.90 | Sydney | APPROVED
2026-07-11 09:15:23 | T1001 | A10025 | TRANSFER | 850.00 | Brisbane | APPROVED
2026-07-11 09:18:40 | T1002 | A10025 | TRANSFER | 6500.00 | Brisbane | APPROVED
2026-07-11 09:20:12 | T1003 | A10025 | ONLINE_PURCHASE | 120.00 | Sydney | DECLINED
2026-07-11 09:22:05 | T1004 | A20318 | CASH_WITHDRAWAL | 500.00 | Gold Coast | APPROVED
2026-07-11 09:41:36 | T1029 | A80512 | TRANSFER | abc | Brisbane | APPROVED
2026-07-11 10:05:00 | T1005 | A10025 | CARD_PAYMENT | 45.50 | Brisbane | APPROVED
2026-07-11 10:33:07 | T1030 | A80512 | TRANSFER | -50.00 | Brisbane | APPROVED
2026-07-11 11:02:11 | T1006 | A20318 | ONLINE_PURCHASE | 199.99 | Gold Coast | DECLINED
2026-07-11 11:09:47 | T1007 | A20318 | ONLINE_PURCHASE | 249.99 | Gold Coast | DECLINED
2026-07-11 11:15:30 | T1008 | A20318 | ONLINE_PURCHASE | 310.00 | Gold Coast | DECLINED
2026-07-11 11:24:58 | T1009 | A20318 | ONLINE_PURCHASE | 275.50 | Gold Coast | DECLINED
2026-07-11 11:31:12 | T1010 | A20318 | ONLINE_PURCHASE | 180.00 | Gold Coast | APPROVED
2026-07-11 11:58:22 | T1031 | A80512 | CARD_PAYMENT | 0.00 | Brisbane | APPROVED
2026-07-11 12:30:15 | T1012 | A30712 | CARD_PAYMENT | 145.00 | Melbourne | APPROVED
2026-07-11 13:45:20 | T1016 | A40199 | CARD_PAYMENT | 62.30 | Hobart | APPROVED
2026-07-11 14:19:05 | T1032 | A80512 | TRANSFER | 100.00 | Brisbane | REJECTED
2026-07-11 16:10:42 | T1013 | A30712 | CASH_WITHDRAWAL | 400.00 | Perth | APPROVED
2026-07-11 17:02:48 | T1033 | A80512 | TRANSFER | 100.00 | Brisbane
2026-07-11 18:55:03 | T1014 | A30712 | ONLINE_PURCHASE | 59.95 | Sydney | APPROVED
2026-07-11 19:26:31 |  | A80512 | TRANSFER | 100.00 | Brisbane | APPROVED
2026-07-12 08:14:52 | T1035 |  | TRANSFER | 100.00 | Brisbane | APPROVED
2026-07-12 09:05:10 | T1017 | A40199 | TRANSFER | 300.00 | Hobart | APPROVED
2026-07-12 10:12:33 | T1019 | A50876 | TRANSFER | 4900.00 | Adelaide | APPROVED
12/07/2026 10:31:19 | T1036 | A80512 | TRANSFER | 100.00 | Brisbane | APPROVED
2026-07-12 10:48:07 | T1020 | A50876 | TRANSFER | 4850.00 | Adelaide | APPROVED
2026-07-12 11:26:51 | T1021 | A50876 | TRANSFER | 4750.00 | Adelaide | APPROVED
2026-07-12 12:03:44 | TX999 | A80512 | TRANSFER | 100.00 | Brisbane | APPROVED
2026-07-12 13:17:20 | T1038 | A8051 | TRANSFER | 100.00 | Brisbane | APPROVED
2026-07-12 14:03:19 | T1022 | A60234 | CASH_WITHDRAWAL | 1200.00 | Cairns | APPROVED
2026-07-12 14:35:44 | T1023 | A60234 | CASH_WITHDRAWAL | 900.00 | Cairns | APPROVED
2026-07-12 15:48:09 | T1039 | A80512 | TRANSFER | 100.123 | Brisbane | APPROVED
2026-07-12 16:21:55 | T1040 | A80512 | TRANSFER | 100.00 |  | APPROVED
2026-07-12 17:22:48 | T1018 | A40199 | CARD_PAYMENT | 25.00 | Hobart | DECLINED
2026-07-12 18:40:12 | T1001 | A10025 | TRANSFER | 75.00 | Brisbane | APPROVED
2026-07-13 07:35:26 | T1042 | A10025 | transfer | 60.00 | Brisbane | approved
2026-07-13 08:10:05 | T1024 | A70455 | TRANSFER | 7500.00 | Darwin | APPROVED
2026-07-13 09:45:30 | T1025 | A70455 | CARD_PAYMENT | 220.00 | Alice Springs | APPROVED
2026-07-13 10:00:00 | T1045 | A90123 | CARD_PAYMENT | 150.00 | Brisbane | APPROVED
2026-07-13 11:12:38 | T1043 | A10025 | TRANSFER | 60.00 | Brisbane | APPROVED | EXTRA
2026-07-13 13:05:15 | T1026 | A70455 | ONLINE_PURCHASE | 85.00 | Darwin | DECLINED
2026-07-13 14:27:03 | T1044 | A10025  | TRANSFER | 60.00 | Brisbane | APPROVED
2026-07-13 15:40:00 | T1027 | A70455 | CASH_WITHDRAWAL | 600.00 | Katherine | APPROVED
2026-07-11 07:30:00 | T1015 | A40199 | DIRECT_DEBIT | 120.00 | Hobart | APPROVED
